date,open,high,low,close
2010-07-19,0.08584,0.09307,0.07723,0.0808
2010-07-20,0.0808,0.08181,0.07426,0.07474
2010-07-21,0.07474,0.07921,0.06634,0.07921
2010-07-22,0.07921,0.08181,0.0505,0.0505
2010-07-23,0.0505,0.06767,0.0505,0.06262
2010-07-26,0.0505,0.056,0.05,0.056
2010-07-27,0.056,0.0605,0.053,0.06
2010-07-28,0.06,0.062,0.054,0.0589
2010-07-29,0.0589,0.0699,0.0571,0.0699
2010-07-30,0.0699,0.0699,0.0582,0.0627
2010-08-02,0.0611,0.0633,0.06,0.06
2010-08-03,0.06,0.065,0.059,0.06
2010-08-04,0.06,0.06231,0.057,0.057
2010-08-05,0.057,0.061,0.057,0.061
2010-08-06,0.061,0.0624,0.0607,0.0623
2010-08-09,0.0609,0.0735,0.0593,0.071
2010-08-10,0.071,0.071,0.06651,0.07
2010-08-11,0.07,0.07541,0.06,0.067
2010-08-12,0.067,0.07,0.06141,0.07
2010-08-13,0.07,0.07,0.0645,0.0645
2010-08-16,0.06529,0.0679,0.062,0.0655
2010-08-17,0.0655,0.0769,0.06243,0.07
2010-08-18,0.07,0.0733,0.067,0.068
2010-08-19,0.068,0.068,0.0667,0.0667
2010-08-20,0.0667,0.0667,0.065,0.0655
2010-08-23,0.066,0.06689,0.063,0.06491
2010-08-24,0.06491,0.0665,0.06491,0.065
2010-08-25,0.065,0.0665,0.0641,0.0648
2010-08-26,0.0648,0.0658,0.064,0.064
2010-08-27,0.064,0.065,0.063,0.065
2010-08-30,0.064,0.069,0.064,0.06497
2010-08-31,0.06497,0.06497,0.06,0.06
2010-09-01,0.06,0.0629,0.05961,0.0629
2010-09-02,0.0629,0.0634,0.0601,0.0634
2010-09-03,0.0634,0.0634,0.06085,0.06085
2010-09-06,0.0616,0.0627,0.0616,0.0616
2010-09-07,0.0616,0.06201,0.0603,0.061
2010-09-08,0.061,0.062,0.06099,0.062
2010-09-09,0.062,0.0624,0.06109,0.06111
2010-09-10,0.06111,0.0618,0.06014,0.0618
2010-09-13,0.0615,0.064,0.0607,0.06219
2010-09-14,0.06219,0.06219,0.061,0.06199
2010-09-15,0.06199,0.0625,0.0604,0.0604
2010-09-16,0.0604,0.0619,0.0604,0.0619
2010-09-17,0.0619,0.0619,0.059,0.059
2010-09-20,0.0627,0.0634,0.062,0.0621
2010-09-21,0.0621,0.0633,0.0621,0.06265
2010-09-22,0.06265,0.06265,0.06147,0.0622
2010-09-23,0.0622,0.063,0.0615,0.06231
2010-09-24,0.06231,0.0624,0.06209,0.0622
2010-09-27,0.062,0.06228,0.0619,0.0622
2010-09-28,0.0622,0.06271,0.0617,0.0619
2010-09-29,0.0619,0.062,0.0615,0.06191
2010-09-30,0.06191,0.06191,0.06155,0.0619
2010-10-01,0.0619,0.062,0.06189,0.06197
2010-10-04,0.06111,0.062,0.06081,0.0613
2010-10-05,0.0613,0.06301,0.0609,0.0614
2010-10-06,0.0614,0.0635,0.0612,0.06281
